#{"t_start": 1764171544.205645, "env_id": "CityDrone-v0"}
r,l,t
-48.042733,21,1.35506
-55.5,18,1.392862
-66.942749,34,1.488091
-78.285128,55,1.607563
-143.782041,214,2.03377
-79.988659,37,2.104737
-61.597075,16,2.134413
-102.998246,40,2.209246
-55.124038,16,2.244003
-53.177113,15,2.272299
-312.726775,119,2.585925
-53.082576,15,2.620282
-155.575914,97,2.809793
-51.70551,11,2.832499
-55.732227,20,2.866334
-50.41966,8,2.882809
-50.00978,14,2.905743
-95.411513,134,3.16373
-74.0,45,3.246563
-47.594449,12,3.270174
-117.59296,39,3.340779
-163.27381,30,3.471618
-49.763932,7,3.489336
-49.649156,8,3.504027
-80.68011,27,3.58581
-51.278146,7,3.602146
-99.522907,24,3.657521
-52.055958,24,3.707295
-118.361595,89,3.885362
-82.396189,43,3.971062
-51.843938,13,4.001254
-57.244563,15,4.030851
-46.118074,11,4.049773
-88.89842,42,4.130809
-144.323224,181,4.485551
-190.725211,125,4.790284
-136.65097,37,4.857886
-65.08975,32,4.915126
-208.410434,213,5.344515
-130.818307,34,5.415998
-47.373674,5,5.42567
-71.861227,17,5.457672
-48.408662,8,5.484
-70.823106,19,5.541055
-47.593885,5,5.552494
-52.835838,23,5.615856
-50.205905,9,5.63436
-52.543274,7,5.64725
-53.792359,7,5.666334
-99.427377,35,5.774321
-47.649215,6,5.79293
-212.982366,51,5.90042
-70.572136,30,5.965094
-59.3551,27,6.018902
-78.328057,97,6.20462
-49.096876,22,6.246305
-49.972336,16,6.277152
-50.872136,6,6.289259
-46.37795,6,6.299901
-49.87083,10,6.317375
-117.68331,33,6.380462
-47.064219,6,6.391315
-83.059346,27,6.440018
-47.6,8,6.455927
-44.853495,10,6.476043
-55.362278,52,6.573943
-48.082763,4,6.585462
-50.346211,4,6.593833
-47.014214,11,6.617626
-72.861046,16,6.650678
-50.606873,11,6.671828
-156.194449,43,6.768738
-47.072336,4,6.781114
-45.346376,7,6.802542
-46.3,3,6.813913
-51.771068,14,6.846608
-57.459693,15,6.887059
-154.123039,64,7.007689
-73.75373,23,7.056275
-77.423845,39,7.135049
-163.052188,37,7.20285
-46.799525,22,7.249669
-74.172078,52,7.342305
-51.386145,4,7.35002
-49.713167,9,7.368005
-69.248697,24,7.408958
-76.785165,15,7.437435
-44.496971,6,7.452696
-69.343146,24,7.498327
-80.485786,34,7.56348
-134.352591,35,8.148348
-149.934104,48,8.255486
-48.706873,2,8.260976
-63.550124,24,8.332984
-57.686948,14,8.373558
-46.805836,4,8.383749
-58.059693,19,8.572654
-101.882041,42,8.662214
-52.770505,13,8.693991
-61.958713,8,8.709696
-47.340735,10,8.729998
-100.582763,21,8.779373
-49.49902,37,8.870115
-47.797275,7,8.885454
-108.657681,69,9.069269
-49.389373,7,9.083078
-43.080683,18,9.123182
-70.157864,42,9.208589
-84.461227,12,9.238833
-58.550166,12,9.26166
-47.297353,4,9.269802
-99.506056,76,9.413881
-65.4,26,9.465658
-47.349215,4,9.473561
-115.6,25,9.529177
-67.028427,24,9.601438
-73.010165,14,9.640262
-64.756373,25,9.696442
-46.903878,15,9.724272
-88.435631,48,9.810812
-47.594449,6,9.821156
-96.117237,55,9.921015
-66.175202,13,9.949487
-64.987917,18,9.985987
-53.004617,25,10.034605
-49.61891,16,10.063249
-55.594121,25,10.110515
-97.186552,23,10.152553
-64.158852,19,10.187665
-283.371573,96,10.363496
-51.291553,21,10.413618
-50.598529,32,11.282807
-82.680383,25,11.345319
-73.428932,33,11.514278
-48.0,27,11.568331
-83.514214,155,11.861732
-115.062278,168,12.186897
-46.398246,24,12.23225
-48.357359,5,12.241751
-216.96558,46,12.328374
-47.268628,5,12.338294
-46.872179,4,12.344011
-58.772136,16,12.375393
-46.9,7,12.387826
-54.943274,12,12.40984
-48.069048,4,12.420586
-58.043274,18,12.466622
-46.739516,4,12.480039
-47.747104,3,12.486955
-48.194449,10,12.514285
-83.197265,60,12.656249
-48.663932,10,12.675778
-64.71655,15,12.703694
-50.1,21,12.742217
-43.936068,10,12.761971
-84.500505,74,12.899387
-46.10098,12,12.923894
-47.300799,8,12.937789
-49.063932,9,12.956629
-93.109921,21,12.997742
-53.1,13,13.023793
-60.817444,11,13.045159
-46.854639,4,13.054596
-76.412495,15,13.082572
-51.863932,24,13.130309
-47.792154,8,13.142412
-46.105522,15,13.171832
-68.1,10,13.191902
-47.671573,11,13.21319
-94.363258,24,13.260712
