#{"t_start": 1764171202.081921, "env_id": "CityDrone-v0"}
r,l,t
-61.374372,27,0.891426
93.5,14,0.910317
-209.492458,228,1.308317
-114.230555,147,1.465535
-147.346274,204,1.689169
-89.007333,47,1.741298
-155.633905,224,2.008799
-71.035214,50,2.064795
-56.37541,20,2.087675
-232.754303,234,3.377052
-72.80487,55,3.441265
-87.27916,127,3.591693
-110.250685,138,3.810629
-58.908204,28,3.845017
-53.005551,12,3.857981
-126.808204,154,4.028582
-103.709632,109,4.14845
-173.475471,221,5.14258
-240.313813,238,7.044534
-240.246951,242,7.312258
-242.531761,242,7.604935
-200.46772,231,7.889869
-415.338314,219,9.198013
-240.3,243,9.476005
-339.680456,224,9.721102
-119.671573,151,9.887592
-137.5642,211,11.837442
-184.338572,218,13.541214
-192.992387,226,13.82391
-225.9,242,14.088193
-120.647735,105,14.201138
-153.452028,139,14.350124
-155.469854,137,16.613965
-49.757359,24,16.645436
-202.975914,231,16.909823
-213.197954,218,17.144372
-232.385281,245,17.419245
-242.48797,234,18.755804
