episode,r,l
0,-48.28283954009188,11
1,-54.53606797749979,7
2,-53.2,4
3,-53.2,7
4,-334.5400675187441,227
5,-52.17106781186548,10
6,-66.9,21
7,-54.52455532033676,13
8,-50.800000000000004,2
9,-54.300000000000004,7
10,-48.99735344943922,8
11,-50.800000000000004,2
12,-51.54517548922216,3
13,-51.536423572442466,13
14,-64.50101781932477,31
15,-59.16276126111928,14
16,-53.64837360433053,12
17,-53.900000000000006,5
18,-54.999019513592785,14
19,-55.505551275463986,5
20,-51.800000000000004,2
21,-53.88880010518355,9
22,-59.16393202250021,16
23,-66.54006751874408,29
24,-53.185164807134505,11
25,-60.4741260506259,10
26,-49.55322766080911,4
27,-50.846932439296666,2
28,-52.54517548922216,3
29,-53.03740228612726,18
30,-49.94472007322747,23
31,-50.088726499773244,5
32,-52.31954445729289,7
33,-290.4529464379657,231
34,-54.65538513813742,6
35,-50.1,1
36,-49.21760527676262,7
37,-51.9436211735265,5
38,-50.1,1
39,-50.1,1
40,-49.25308188745291,2
41,-50.8421652641004,6
42,-49.70971956121446,3
43,-50.1,1
44,-49.538350991069606,3
45,-301.715973539998,214
46,-51.214899575400594,5
47,-50.56953573362194,8
48,-48.74652647159459,2
49,-53.957346110951846,13
50,-48.9353461039266,2
51,-49.918436097808346,3
52,-52.2,4
53,-52.83271147678775,4
54,-52.416351387837395,5
55,-49.31635138783739,2
56,-50.1,1
57,-51.12408611202488,4
58,-51.2532276608091,5
59,-50.800000000000004,2
60,-49.88334617360803,5
61,-49.31635138783739,2
62,-43.27157014340739,9
63,-53.69598283006909,10
64,-50.1,1
65,-51.23341532046441,7
66,-49.21843609780835,2
67,-49.66952143177436,3
68,-50.28334617360803,4
69,-52.261026240208835,8
70,-51.300876701509615,4
71,-51.01785214098197,5
72,-41.75969349108945,20
73,-49.755348173956904,6
74,-52.28276253029822,4
75,-50.31785214098197,4
76,-48.87814558487331,2
77,-51.781738101456504,9
78,-49.61695402640543,19
79,-51.88276253029822,5
80,-50.41385470645828,5
81,-48.7,2
82,-48.928391561743275,2
83,-51.66227766016838,3
84,-49.41169471843275,3
85,-50.0,7
86,-49.617237469701784,2
87,-48.83341532046441,2
88,-48.9228758492822,2
89,-51.23193970354894,4
90,-49.65463898281274,2
91,-50.17858563650757,3
92,-51.1,4
93,-49.350969670618085,2
94,-49.67429801428415,3
95,-48.9228758492822,2
96,-51.52310562561766,9
97,-51.573790317331415,6
98,-49.254212912289205,2
99,-51.44314575050762,4
100,-51.51169471843274,6
101,-49.738552257919174,5
102,-50.01635138783739,3
103,-49.81489957540059,3
104,-51.617852140981974,9
105,-52.17858563650757,9
106,-49.12782765741245,2
107,-51.752851848448536,8
108,-53.72893218813453,11
109,-49.31367251743444,4
110,-49.644614861862586,2
111,-48.9353461039266,2
112,-43.266108703906255,9
113,-50.459932481255926,7
114,-51.26227766016838,4
115,-49.25308188745291,2
116,-52.637975178709034,10
117,-50.1,1
118,-47.203561168324775,23
119,-49.60098048640722,2
120,-49.755348173956904,6
121,-55.659470069338184,7
122,-49.67429801428415,3
123,-49.71148842334276,3
124,-48.88334617360803,2
125,-50.1,1
126,-93.33845246985356,42
127,-49.95463898281274,4
128,-49.12782765741245,2
129,-49.08278080974974,2
130,-50.307924408864025,4
131,-50.5553481739569,4
132,-48.7,2
133,-49.716256983294564,5
134,-50.115290253488055,7
135,-50.96997689464155,9
136,-49.976066876412446,5
137,-48.89519863525768,2
138,-49.11798583829939,4
139,-50.276894374382344,3
140,-51.66227766016838,3
141,-49.55183659393532,2
142,-49.928932188134524,4
143,-50.378528187527095,9
144,-48.83193970354893,2
145,-50.28998972677006,5
146,-49.369976894641546,2
147,-50.28334617360803,4
148,-50.4,3
149,-48.84884480262943,2
150,-49.04660165623339,2
151,-50.1,1
152,-49.21029077794256,2
153,-48.83341532046441,2
154,-48.96573691694569,2
155,-50.46015967219908,4
156,-49.46060948679774,3
157,-50.1,1
158,-50.87106781186548,2
159,-50.1,1
160,-49.15993248125592,2
161,-48.904777966130254,2
162,-49.41489957540059,4
163,-50.1,1
164,-48.716256983294564,2
165,-49.24095364352182,4
166,-49.02496830166809,2
167,-48.70451460393363,2
168,-48.974298014284145,2
169,-49.458207209961465,2
170,-50.845361017187265,2
171,-41.87650581401258,7
172,-49.65373001205953,3
173,-49.136934301669854,2
174,-48.9228758492822,2
175,-46.50063194098708,19
176,-48.90792440886403,2
177,-48.7,2
178,-48.7,2
179,-48.711694718432746,2
180,-48.7,2
181,-50.19095792258496,3
182,-53.064414002968974,5
183,-48.797293913904376,2
184,-51.97897631459503,6
185,-49.01148842334276,2
186,-49.19710138157139,2
187,-49.191559275736374,2
188,-50.845361017187265,2
189,-48.96573691694569,2
190,-50.1,1
191,-49.21029077794256,2
192,-48.8383509910696,2
193,-48.795414108203055,2
194,-50.85538513813742,2
195,-50.96227766016838,2
196,-49.74314575050762,3
197,-53.40877728388536,14
198,-49.0,4
199,-48.7,2
